добрый к	kind to
щедрый к	generous to
дружелюбный к	friendly to
бодрый, веселый к	cheerful to
стеснительный	shy with
надежный	relaible
ненадежный	unrelaible
трусливый	cowardly
привлекательный, очаровательный	lovely
строгий с	strict with
разговорчивый	talkative
жадный к	mean to
эгоист	selfish
равнодушный	cold
непослушный	naughty
старательный	diligent
остроумный	witty
спокойный	calm
удачливый кто то	lucky to
заботливый	caring
